UserPoNumber,JobPrice,PostDate,PostTime,QLNumber,PickStreet,PickCity,PickStation,PickState,PickZip,DropStreet,DropCity,DropState,DropZip,ShipmentTypeName,StatusTypeName,CarrierName,ShipperName,DriverName,ShipperCharges,QuickloadCharges,QLCommission,CarrierPayment,QuotePrice,ContainerNumber,ContainerSize,ContainerSizeUnit,ContainerWidth,ContainerHeight,ContainerLength,ContainerMaxPayLoad,ContainerType,ContainerQuantity,POD_Loaded,LoadType,MaterialType,PalletsQuantity,PalletHeight,PalletWidth,PalletLength,PalletUnitTypeId,TotalWeight,WeightUnitTypeId,PickDate,PickTime,ActualPickDate,ActualPickTime,DropDate,DropTime,ActualDropDate,ActualDropTime,PickContactName,PickContactPhone,DropContactName,DropContactPhone,Instructions
PO-1876,$335.29,31/08/2017,07:06 AM EST,UCTSU0Y,2792 NW 24th St,Miami,Port of Miami,FL,33142,96 Bald Hill St.,Richardson,TX,75080,Partial,Paid,DMS Logistics Inc,BOS Global LLC,Weymar Marenco,$335.29,$36.00,$19.00,$285.29,$293.00,,,,,,,,,,0,Pallet,TILES,20,60,48,40,1,"38,000",Lbs,31/08/2017,02:59 AM EST,,,31/08/2017,06:59 AM EST,,,Amare Hubbard,(330) 283-8263,Thomas Yates,(824) 449-2286,Someone wronged you? Forgive them
PO-1709,$100.00,30/12/2016,12:35 PM EST,QGB56RS,2792 NW 24th St,Miami,Port of Miami,FL,33142,266 Forest Rd.,Pensacola,FL,32503,Partial,Cancelled,xyz trucking,Shipper 01,Alexander Iuspa,$100.00,$36.00,$17.00,$100.00,$100.00,,,,,,,,,,0,Pallet,tile,10,60,48,40,1,"1,000",Lbs,30/12/2016,05:30 AM EST,,,30/12/2016,07:30 AM EST,,,Frida Davies,(460) 555-9943,Ada Stephenson,(700) 927-7748,See someone struggling with lots of bags? Offer to help them
PO-1875,$295.00,30/08/2017,08:51 AM EST,TW3JMLO,2792 NW 24th St,Miami,Port of Miami,FL,33142,7477 Second St.,Sugar Land,TX,77478,Full,Paid,BOS Cargo,SUNGATE STONE LLC,Alexander Iuspa,$295.00,$45.00,$17.00,$300.00,$549.00,,,,,,,,,,0,Pallet,marble,16,60,48,40,1,"45,000",Lbs,31/08/2017,02:59 AM EST,,,31/08/2017,06:59 AM EST,,,John Cabrera,(434) 347-4009,Kamden Bates,(589) 186-8120,Leave someone flowers anonymously
PO-1683,$300.00,29/11/2016,10:49 AM EST,5XTE48C,2792 NW 24th St,Miami,Port of Miami,FL,33142,7084 Creekside St.,Sebastian,FL,32958,Full,Paid,Papo's Hauling Inc,Bos warehouse,Hiram Vazquez,$300.00,$39.00,$13.00,$300.00,$300.00,,,,,,,,,,0,Pallet,tiles/pavers,15,60,48,40,1,"45,000",Lbs,29/11/2016,05:44 AM EST,,,29/11/2016,10:00 AM EST,,,Hudson Duncan,(490) 548-4729,Vance Rosales,(617) 442-4302,We all need help sometimes; offer someone a helping hand
PO-1790,$2.00,29/06/2017,04:59 PM EST,84BUIFI,3337 FL-84,Davie,,FL,33324,3337 FL-84,Davie,FL,33324,Container,Cancelled,DMS Logistics Inc,AlexShipper,Alexander Iuspa,$2.00,$67.00,$17.00,$2.00,$629.00,EXRM8465511,20,Ft,,,,,Dry,,0,4,,1,0,0,0,2, , ,29/06/2017,02:59 AM EST,,,29/06/2017,06:59 AM EST,,,Conor Robinson,(391) 873-1958,Jocelyn Shannon,(562) 908-9901,What was the person thinking when they discovered cow’s milk was fine for human consumption… and why did they do it in the first place!?
PO-1792,$2.00,29/06/2017,04:59 PM EST,84BUIFI,3337 FL-84,Davie,,FL,33324,3337 FL-84,Davie,FL,33324,Container,Cancelled,AlexCarrierBest,AlexShipper,Hiram Vazquez,$2.00,$32.00,$20.00,$2.00,$629.00,BNIB3837398,40,Ft,,,,,Flat Rack,,0,4,,1,0,0,0,2, , ,29/06/2017,02:59 AM EST,,,29/06/2017,06:59 AM EST,,,Ashlyn Jacobs,(457) 624-5490,Alissa Ortega,(209) 777-3676,The body may perhaps compensates for the loss of a true metaphysics.
PO-1785,$220.00,29/06/2017,03:21 PM EST,WC7ITV8,1850 Eller Dr,Fort Lauderdale,Port Everglades,FL,33316,8022 Brandywine Drive,Ormond Beach,FL,32174,Container,Paid,DMS Logistics Inc,Royalstone,Luis Enrique Molina,$220.00,$37.00,$10.00,$187.00,$500.00,LHTW8156079,20,Ft,,,,,Open Top,,1,Container,,1,9.6,8,20,2, , ,06/07/2017,02:59 AM EST,,,06/07/2017,06:59 AM EST,,,Monserrat Anderson,(485) 381-8157,Reese Calderon,(707) 199-2810,"Italy is my favorite country; in fact, I plan to spend two weeks there next year."
PO-1788,$220.00,29/06/2017,03:21 PM EST,WC7ITV8,1850 Eller Dr,Fort Lauderdale,Port Everglades,FL,33316,1850 Eller Dr,Fort Lauderdale,FL,33316,Container,Paid,xyz trucking,Royalstone,Hakki Ozdamar,$220.00,$33.00,$18.00,$187.00,$500.00,OQMU3113220,40,Ft,,,,,Tunnel,,1,Container,,1,9.6,8,20,2, , ,06/07/2017,02:59 AM EST,,,06/07/2017,06:59 AM EST,,,Natalya Frederick,(435) 235-8564,Cristina Finley,(677) 329-0870,"He ran out of money, so he had to stop playing poker."
PO-1789,$2.00,29/06/2017,04:59 PM EST,84BUIFI,131 NW 107th Ave,Miami,Port of Miami,FL,33172,131 NW 107th Ave,Miami,FL,33172,Container,Cancelled,BOS Cargo,AlexShipper,Hiram Vazquez,$2.00,$43.00,$12.00,$2.00,$629.00,DTWK5435887,20,Ft,,,,,Side Open,,0,4,,1,9.6,8,20,2, , ,29/06/2017,02:59 AM EST,,,29/06/2017,06:59 AM EST,,,Yosef Beltran,(653) 889-8886,Yadiel Silva,(154) 799-9139,I want to buy a onesie… but know it won’t suit me.
PO-1791,$2.00,29/06/2017,04:59 PM EST,84BUIFI,131 NW 107th Ave,Miami,Port of Miami,FL,33172,131 NW 107th Ave,Miami,FL,33172,Container,Cancelled,BOS Cargo,AlexShipper,Alexander Iuspa,$2.00,$30.00,$11.00,$2.00,$629.00,DRBI671378,40,Ft,,,,,Refrigerated ISO,,0,4,,1,9.6,8,20,2, , ,29/06/2017,02:59 AM EST,,,29/06/2017,06:59 AM EST,,,Ella Wilkerson,(387) 408-6704,Gianni Myers,(541) 716-6003,The quick brown fox jumps over the lazy dog.
